"","Solo","Solo_ARS"
"1",1889.62458714426,1874.64161623218
"2",1696.53738923863,1699.13505380776
"3",1801.96453870892,1803.53916005961
"4",1763.83626403332,1743.61995739388
"5",1573.2798517533,1556.82958916414
"6",1567.18789339805,1561.20894804319
"7",1301.97525372342,1307.62863306142
"8",1707.85846567371,1691.93149655333
"9",1600.81929176917,1570.5944312256
"10",1525.46784781306,1525.38371283703
"11",1426.61187561043,1392.05844748761
"12",1577.05765464534,1559.09009208652
"13",1916.14636666888,1882.21319264751
"14",1316.24205225545,1307.41698822809
"15",1700.01009451832,1685.23736469315
"16",1683.3402601936,1676.41304905551
"17",1427.40506292277,1418.10830533895
"18",1933.98361146755,1921.9481714463
"19",1798.16058822608,1804.12864768597
"20",1950.44066588318,1950.62560699222
"21",1711.39059064767,1712.21362223563
"22",1906.55891946579,1904.92312914332
"23",1532.36596759374,1526.33772635113
"24",1623.55167946109,1609.64414468988
"25",1843.2725452997,1817.14407085647
"26",2084.52966746696,2050.99324155902
"27",1762.67918058502,1766.49708574463
"28",1704.24346167649,1688.98524906232
"29",1924.10274193513,1900.89328086758
"30",1905.16769946454,1899.09833196561
"31",1768.88133398997,1759.87711096629
"32",2121.00598186355,2082.04306209818
"33",1442.50759246013,1429.19929003381
"34",1809.07347015613,1799.06568338235
"35",1525.67934194133,1526.42374316786
"36",2042.22492212173,2036.08754640558
"37",1871.13620996216,1868.0228241884
"38",2074.62001492497,2057.05096967255
"39",1439.32824397003,1431.0364991569
"40",1787.79253435283,1791.13722521722
"41",1516.84778506524,1513.53259574522
"42",1965.79320894646,1957.87753901777
"43",1911.41024664123,1916.3192449217
"44",1362.14856014246,1346.8569437706
"45",1713.89399477128,1698.78882679644
"46",2257.29815236188,2239.20442446241
"47",1819.95841171972,1825.69502256029
"48",1400.09089071063,1410.40724788031
"49",2023.56559087411,1987.21035210994
"50",1847.14817530538,1855.75589380596
"51",1679.58692567858,1653.2566458296
"52",1648.27389552566,1645.14165460607
"53",1552.85957125392,1538.44262988021
"54",1514.87066101294,1505.05707629566
"55",1328.39833962323,1314.78949464441
"56",1697.15251928481,1697.72285362166
"57",2118.00585867603,2123.1700011857
"58",1432.51379955471,1409.41430089945
"59",1678.44650535898,1675.62183564839
"60",1440.62131127887,1430.51092888621
"61",1768.95240267205,1757.38201939894
"62",1773.99726851697,1767.81257561505
"63",1964.82127311709,1932.49308438116
"64",1374.86320419473,1373.90376319471
"65",1578.97718731349,1571.81717181032
"66",1462.05075315093,1465.09119677044
"67",2006.17278227362,1997.95910983753
"68",1664.85491441447,1571.78254233624
"69",1374.44551144603,1374.06196945629
"70",2029.70436209831,2004.02559011094
"71",1862.06376180871,1864.63343299
"72",1510.83375256856,1471.60815714133
"73",1842.21748504776,1851.23663426579
"74",1535.76553115663,1525.01007159984
"75",1696.13347486341,1676.04245876068
"76",1056.22163562716,1057.75913280183
"77",1638.41525632447,1620.61948150167
"78",1579.90762965636,1558.28900151102
"79",1738.0624926004,1724.06664908995
"80",1762.12768910845,1742.1389199971
"81",1771.71703703147,1764.88507837368
"82",1708.12068168933,1698.95533684994
"83",1878.79256349305,1877.77119061159
"84",1671.85062964155,1662.45788831687
"85",1734.16942066092,1727.83796734796
"86",1869.66947124309,1866.11412504819
"87",1796.8221975993,1770.59645589978
"88",1303.20398298383,1273.31193296943
"89",1624.71948030766,1606.34485670122
"90",1879.03969222917,1874.53709222938
"91",1209.20764071113,1214.02128010704
"92",1404.95214643573,1404.22716060207
"93",1789.27144334613,1709.98034802241
"94",1702.5575061251,1696.70830359006
"95",1756.14535676558,1740.28363079118
"96",1382.85986773132,1380.5465043967
"97",1805.98713171045,1791.46837882764
"98",1634.90597959765,1520.51175182184
"99",1728.33796069246,1720.47228012006
"100",1636.99763988419,1615.41155974051
"101",1842.30056624908,1829.60929725544
"102",2136.51801932471,2132.79042996037
"103",2029.5928774525,2025.53599857128
"104",1780.54561560811,1783.76018145791
"105",1722.76909427065,1676.86867693619
"106",1819.87922905598,1776.59036681608
"107",1728.0996303441,1734.60282611153
"108",1698.39550021563,1699.87811772162
"109",986.311500292426,989.885252152756
"110",1583.11521698171,1551.41805964486
"111",1555.67631276023,1558.47675243585
"112",1481.29773294968,1478.53025765341
"113",1830.58057546121,1813.63379283753
"114",1975.47494634921,1948.0095790129
"115",2173.27547796679,2151.34639233387
"116",2057.95773157586,2029.32807365531
"117",1924.75371238383,1909.62215725666
"118",1491.21131118313,1481.48583540734
"119",2236.1211628227,2215.9904505233
"120",1318.26633873276,1276.77926298556
"121",1862.89738586225,1843.64730002027
"122",1857.96143070551,1840.5749280391
"123",1606.19082269277,1618.89559226514
"124",1752.961588644,1735.17677404437
"125",1581.6787799122,1540.47234475145
"126",1736.34072276557,1706.88402847445
"127",1409.9373415167,1403.24578046002
"128",1770.7581549534,1797.2753534345
